agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
"First Wessex, Dorset & South Somerset",19,9011,474.2631578947368,2230
Bus Link,19,106,5.578947368421052,37
Hornsbys Bus & Coach,19,364,19.157894736842106,84
ARG Travel,19,1412,74.3157894736842,264
Bland's,19,107,5.631578947368421,20
1st Bus Stop Ltd,18,82,4.555555555555555,22
Scottish Citylink,18,1804,100.22222222222223,464
Simonds,18,491,27.27777777777778,176
Kirkby Lonsdale Coaches,18,349,19.38888888888889,104
Arriva Derby,18,1963,109.05555555555556,183
London Sovereign,18,8114,450.77777777777777,827
Chalkwell Garage & Coach Hire,18,288,16.0,73
Hatch Green Coaches,18,264,14.666666666666666,56
White Bus Services,18,1128,62.666666666666664,208
Harris Coaches,17,600,35.294117647058826,88
Z & S Transport,17,105,6.176470588235294,27
Bennetts,17,34,2.0,2
Hattons Travel,17,561,33.0,134
Arriva London South,17,12083,710.7647058823529,1855
Tyne and Wear Metro,16,2230,139.375,658
Stotts Coaches,16,210,13.125,35
JMB Travel,16,1768,110.5,514
A2B Travel,16,899,56.1875,156
Wilfreda Beehive,16,30,1.875,2
South Wales Transport,16,413,25.8125,68
Connexions Buses,16,445,27.8125,95
McColls Travel,16,1163,72.6875,274
Richards Bros,16,299,18.6875,114
Watermill Coaches,15,180,12.0,40
Thomas Murphy,15,30,2.0,2
LMS Travel,15,133,8.866666666666667,36
Cotswold Green,15,109,7.266666666666667,26
Taylors Travel,15,31,2.066666666666667,4
Metrolink,15,11692,779.4666666666667,1189
Torbay Buses,14,182,13.0,46
Nottinghamshire County Council Fleet Services,14,180,12.857142857142858,42
OTS,14,310,22.142857142857142,56
Canavan Travel,14,423,30.214285714285715,100
Lothian Country Buses,14,3460,247.14285714285714,635
Go To Town,14,281,20.071428571428573,69
Globe Coaches,14,453,32.357142857142854,76
Nick Maddy Coaches,14,39,2.7857142857142856,8
McCall's Coaches,14,324,23.142857142857142,52
Ember,14,3229,230.64285714285714,897
Gwynfor Coaches,14,410,29.285714285714285,76
Lloyds Coaches,13,438,33.69230769230769,90
Globe Holidays,13,192,14.76923076923077,65
Marshalls of Sutton on Trent,13,73,5.615384615384615,16
Hotel Hoppa,13,372,28.615384615384617,53
The Blackburn Bus Company,13,1671,128.53846153846155,389
Dochertys Midland Coaches,13,117,9.0,72
Autocar Bus & Coach Services,13,174,13.384615384615385,66
South West Coaches,13,245,18.846153846153847,55
DANSA,13,95,7.3076923076923075,17
P & O Lloyd,13,286,22.0,54
Axe Valley Mini-Travel,12,127,10.583333333333334,82
Richmonds Coaches,12,97,8.083333333333334,31
Our Bus,12,52,4.333333333333333,15
Cumfybus,11,284,25.818181818181817,108
J P Minibus,11,150,13.636363636363637,32
Star Cabs,11,68,6.181818181818182,14
Link Network,11,108,9.818181818181818,56
Uni-Link,11,3988,362.54545454545456,1080
Sharpes of Nottingham,11,29,2.6363636363636362,3
Sullivan Buses,11,373,33.90909090909091,212
Fords Coaches,11,22,2.0,2
Bay Travel,11,442,40.18181818181818,62
Dales and District,11,187,17.0,68
Delaine Buses,11,328,29.818181818181817,169
M & H Coaches,11,191,17.363636363636363,49
Stanton's of Stoke,10,116,11.6,51
Taw & Torridge,10,47,4.7,24
Ashcroft Travel,10,106,10.6,24
The Big Lemon,10,382,38.2,104
National Express Accessible Transport,10,27,2.7,4
Marchants Coaches,10,20,2.0,2
Lochs Motor Transport,10,241,24.1,52
Celtic Travel,10,229,22.9,111
John Dix Travel,10,20,2.0,2
Regent Coaches,10,118,11.8,25
Owen's Travelmaster,10,123,12.3,26
ASD Coaches,10,159,15.9,64
West Oxfordshire Community Transport,10,83,8.3,19
PVT Transfer,10,600,60.0,220
Hobson Travel,9,192,21.333333333333332,45
Aimee's,9,45,5.0,12
Yorkshire Travel Group,9,246,27.333333333333332,85
Tyrers Coaches,9,136,15.11111111111111,64
Reptons Coaches,9,36,4.0,10
Kinchbus,9,1722,191.33333333333334,807
Tally Ho!,9,187,20.77777777777778,95
Grayscroft Coaches,9,35,3.888888888888889,11
CommMiniBus,9,33,3.6666666666666665,11
Pembrokeshire County Council,9,57,6.333333333333333,10
First Berkshire & The Thames Valley,9,5107,567.4444444444445,1186
Kevs Cars and Coaches,8,247,30.875,82
Sunbeam Luxury Coaches,8,20,2.5,5
South Staffs Coach Hire,8,30,3.75,16
R Robertson & Son,8,159,19.875,60
Marshalls Coaches,8,17,2.125,3
Mid Wales Travel,8,97,12.125,28
Let's Go,8,605,75.625,264
Fourways Coaches,8,9,1.125,2
D & E Coaches,8,98,12.25,36
David Goodfellow Travel,8,177,22.125,52
Blueworks Private Hire,8,50,6.25,16
Bakers Dolphin,8,16,2.0,2
Damory Coaches,8,136,17.0,38
A Lyles and Son,8,58,7.25,44
Ambassador Travel,7,24,3.4285714285714284,7
George Rapson Travel,7,59,8.428571428571429,21
Telford's Coaches,7,81,11.571428571428571,24
Squarepeg,7,127,18.142857142857142,32
Minsterley,7,98,14.0,35
F R Willetts,7,21,3.0,10
London Transit,7,4822,688.8571428571429,1020
Eurocoaches,7,89,12.714285714285714,24
Cardinal Buses,7,17,2.4285714285714284,3
Edwards Coaches,7,448,64.0,200
LandFlight,7,311,44.42857142857143,60
Whitelaw Coaches,7,863,123.28571428571429,278
Catterall's,7,14,2.0,2
Orkney Ferries,7,797,113.85714285714286,219
Eastern Scottish,7,174,24.857142857142858,46
Dilwyn's Coaches,7,228,32.57142857142857,68
Cresta Coaches,7,21,3.0,5
Coachstyle,7,134,19.142857142857142,57
Shetland Ferries,7,1121,160.14285714285714,318
DRM Bus,7,142,20.285714285714285,62
SD Travel,7,193,27.571428571428573,52
J & D S Halcrow,7,112,16.0,61
Coventry Minibuses,7,16,2.2857142857142856,4
Garelochhead Minibuses & Coaches,6,115,19.166666666666668,41
Littles Travel,6,48,8.0,16
Lothian Community Transport,6,6,1.0,1
Redroute Buses,6,71,11.833333333333334,29
Prentice Coaches,6,243,40.5,78
Beestons,6,41,6.833333333333333,26
Flyer,6,382,63.666666666666664,169
Berwyn,6,98,16.333333333333332,29
Coastliner Buses,6,240,40.0,212
Caerphilly County Borough Council,6,49,8.166666666666666,23
Deveron Coaches,6,28,4.666666666666667,18
Carlone Buses,6,38,6.333333333333333,16
Carolean Coaches,6,356,59.333333333333336,103
