lsoa_cd,lsoa_name,la_name,imd_score,imd_decile,elderly_pct,nocar_pct,nonwhite_pct,unemployment_pct,stop_count,stops_per_1k,ruc_class,cluster,archetype,desert_score,n_deprived
E01026593,Great Yarmouth 003E,Great Yarmouth,13.525,7,38.589840788476124,14.239482200647249,2.788244159758857,2.385008517887564,0,0.0,RLF1,0,Affluent Urban,0.5770133654924766,3
E01019127,Allerdale 001B,Cumberland,18.849,5,41.43968871595331,9.623430962343097,0.5188067444876765,1.5781922525107603,0,0.0,RSF1,2,Elderly Rural,0.5764856602916114,5
E01020485,Dorset 033C,Dorset,23.926,4,37.0242214532872,24.295302013422816,2.0000000000000018,1.921598770176787,4,2.7624309392265194,RLN1,0,Affluent Urban,0.5762406098061896,3
E01026688,King's Lynn and West Norfolk 007B,King's Lynn and West Norfolk,42.36,2,9.734513274336283,25.671140939597315,6.894519740718918,4.908485856905158,0,0.0,UF1,3,Deprived Car-Free Urban,0.5757656419222118,5
E01028858,Shropshire 035E,Shropshire,22.274,4,38.55813953488372,5.319148936170213,0.9776536312849138,1.9311064718162838,0,0.0,RSF1,2,Elderly Rural,0.5755508846306767,5
E01026786,North Norfolk 013D,North Norfolk,24.682,4,34.95049504950495,7.916666666666666,1.7343904856293335,2.073104200763775,0,0.0,RSF1,2,Elderly Rural,0.5754647226237458,5
E01019375,South Lakeland 001B,Westmorland and Furness,11.113,8,35.557132718239885,19.79010494752624,3.1892274982282087,2.208682406702209,0,0.0,RSF1,2,Elderly Rural,0.5750454337753282,5
E01024580,Swale 006A,Swale,61.03,1,32.60437375745527,18.3991683991684,2.4353876739562574,3.236994219653179,13,6.461232604373757,RLF1,3,Deprived Car-Free Urban,0.5740503626828058,6
E01026704,King's Lynn and West Norfolk 011D,King's Lynn and West Norfolk,48.247,1,10.897435897435898,30.747922437673132,4.436130411544625,4.810495626822157,0,0.0,UF1,3,Deprived Car-Free Urban,0.573131431185917,6
E01006957,Sefton 032C,Sefton,42.185,2,22.109275730622617,40.758293838862556,7.8045685279187875,4.830569574621485,3,1.9083969465648853,UN1,3,Deprived Car-Free Urban,0.572807033723243,6
E01021942,Rochford 001A,Rochford,23.033,4,47.19033232628399,15.342763873775844,1.6928657799274438,2.408854166666667,6,3.6319612590799033,RLN1,2,Elderly Rural,0.5725727008528653,4
E01026740,North Norfolk 012A,North Norfolk,25.228,4,34.44773592890393,6.785714285714286,1.2695725772323363,3.1533683707596754,0,0.0,RSF1,2,Elderly Rural,0.5725580507094952,5
E01019187,Barrow-in-Furness 010E,Westmorland and Furness,26.524,4,21.29485179407176,23.498233215547703,1.0140405616224646,2.606177606177606,0,0.0,UF1,0,Affluent Urban,0.5725448983432446,4
E01007005,Sefton 034B,Sefton,67.82,1,15.271966527196653,55.21292217327459,10.82402234636871,3.260869565217391,6,4.181184668989547,UN1,3,Deprived Car-Free Urban,0.5720867643058968,5
